id,title,price,domain_id,brand
MLA1382476519,Smart Tv Kanji Kj-50st005 Led Android Kitkat 4k 50  100v/240v,166999.0,MLA-TELEVISIONS,Kanji
MLA1403239540,Smart Tv Noblex Dk65x6550pi Led Hdr 4k 65'' Vidaa,325999.0,MLA-TELEVISIONS,Noblex
MLA1113740216,Led Tv Philips 55  Pud7406/77 Android Smart Netflix Prime 4k,229499.1,MLA-TELEVISIONS,Philips
MLA1184756900,Smart Tv Samsung Qn55q65bagxzd Qled 4k 55,417999.0,MLA-TELEVISIONS,Samsung
MLA1378873275,Smart Tv 55 Uled Hisense 55u60h 4k Google Tv,272999.0,MLA-TELEVISIONS,Hisense
MLA1337974819,Smart Tv Tcl P735 Series 75p735 Lcd Google Tv 4k 75  100v/240v,555499.0,MLA-TELEVISIONS,TCL
MLA1426502792,Smart Tv Hitachi Cdh-le504ksmart26-f Led Google Tv 4k 50  220v,184999.0,MLA-TELEVISIONS,Hitachi
MLA1380482117,Smart Tv Uhd 4k 65   Bgh Android B6522us6a,353999.0,MLA-TELEVISIONS,BGH
MLA1377753865,Smart Tv Telefunken 50 4k Tk5022 Sintonizador Digital 220v,218799.0,MLA-TELEVISIONS,Telefunken
MLA1377068949,Smart Tv LG 43  4k Ai Thinq 43uq8050psb Lcd Webos ,199999.0,MLA-TELEVISIONS,LG
MLA1255874132,Smart Tv LG Ai Thinq 60up7750psb Lcd Webos 6.0 4k 60  100v/240v,337999.0,MLA-TELEVISIONS,LG
MLA1448001330,Smart Tv Tcl C835 Series Mini Led L55c835 Lcd Google Tv 4k 55  100v/240v,761439.0,MLA-TELEVISIONS,TCL
MLA1261747838,Smart Tv Samsung Neo Qled 4k Qn75qn85bagczb Qled Tizen 4k 75  220v - 240v,999999.0,MLA-TELEVISIONS,Samsung
MLA1144381976,Xiaomi Mi Tv P1 43 L43m6-6a,328299.0,MLA-TELEVISIONS,Xiaomi
MLA879591724,Smart Tv Rca X55andtv Led Android Tv 4k 55  100v/240v,219999.0,MLA-TELEVISIONS,RCA
MLA900398392,Smart Tv Portátil Sanyo Lce50su9550 Led 4k 50  220v,195930.78,MLA-TELEVISIONS,Sanyo
MLA1369480573,Smart Tv Led 50  4k L50p735 Go - Tcl,218999.0,MLA-TELEVISIONS,TCL
MLA1279225988,Smart Tv Led 70 Pulgadas 4k 70a6h Hisense,369999.0,MLA-TELEVISIONS,Hisense
MLA1429768578,Tcl Led 65 4k Hdr L65p735 Uhd Google Tv 220v,369999.0,MLA-TELEVISIONS,TCL
MLA1297824042,Smart Tv 75 Philips 8507 Series Android 75pud8507/77 4k Uhd,655489.0,MLA-TELEVISIONS,Philips
MLA1214663013,Smart Tv Rca 55  And55p7uhd Ultra Hd Android Tv 100-240v ,202838.0,MLA-TELEVISIONS,RCA
MLA1380323207,Smart Tv Led 55'' Tcl L55p735 4k Ultra Hd,225229.0,MLA-TELEVISIONS,TCL
MLA1169105400,Smart Tv Samsung Series 7 Un65au7000gczb Led Tizen 4k 65  220v - 240v,384998.9,MLA-TELEVISIONS,Samsung
MLA1433736546,Smart Tv 65 Pulgadas 4k Ultra Hd 65bu8000 - Samsung,369999.0,MLA-TELEVISIONS,Samsung
MLA1413415712,Smart Tv 55 Tcl L55p725 4k Uhd Google Tv 240v,244899.0,MLA-TELEVISIONS,TCL
MLA1382340481,Smart Tv Kanji Kj-5xst005-2 50 Pulgadas 4k Uhd Tda Google Tv,223060.0,MLA-TELEVISIONS,Kanji
MLA1109870401,Smart Tv Led 50 Pulgadas Rca And50fxuhd Android 4k Uhd Cuota,286998.0,MLA-TELEVISIONS,RCA
MLA1376483031,Led Tv Philips 50 Pud7406/77 Android Smart Netflix Prime 4k,170999.1,MLA-TELEVISIONS,Philips
MLA1411979254,Smart Tv Led 4k 43 LG 43uq8050psb Thinq Ai Netflix Youtube,171999.0,MLA-TELEVISIONS,LG
MLA1443606114,Smart Tv Samsung Series 7 Un70au7000gczb Led Tizen 4k 70  220v - 240v,526230.0,MLA-TELEVISIONS,Samsung
MLA1156220135,Tcl 55c825,619999.0,MLA-TELEVISIONS,TCL
MLA1379695829,Smart Tv Bgh B5522fs6a 4k,248813.0,MLA-TELEVISIONS,BGH
MLA1224456116,Smart Tv Hitachi Cdh-le504ksmart21-f Led Android Tv 4k 50  220v,249999.0,MLA-TELEVISIONS,Hitachi
MLA1110285627,Smart Tv Samsung Series 7 Crystal Led 4k 50  220v - 240v,212749.0,MLA-TELEVISIONS,Samsung
MLA1153838775,Smart Tv Philco Pld50hs22pi Led 4k 50  Negro 220v,175309.0,MLA-TELEVISIONS,Philco
MLA1260001328,Smart Tv Led Noblex Dk50x7500 4k 50 Google Tv Netflix ,257138.7,MLA-TELEVISIONS,Noblex
MLA1411979794,Smart Tv LG Ai Thinq 65nano80spa Lcd Webos 6.0 4k 65  100v/240v,641149.0,MLA-TELEVISIONS,LG
MLA884630597,Smart Tv Aoc 50u6295/78g Led 4k 50  110v/240v,186238.94,MLA-TELEVISIONS,AOC
MLA1434439020,Smart Tv Rca Google 50  Ultra Hd 4 K Android Youtube Netflix,164995.0,MLA-TELEVISIONS,RCA
MLA1110327364,Smart Tv Led 50 Pulgadas Rca And50fxuhd Android 4k Uhd,210998.0,MLA-TELEVISIONS,RCA
MLA1219479054,Smart Tv Philips 7000 Serie 50pud7406/77 Led 4k 50  110v/240,181999.0,MLA-TELEVISIONS,Philips
MLA1388500468,Smart Tv LG 43 Pulgadas 43uq8050psb 4k Uhd Ai Thinq Hdr,199999.0,MLA-TELEVISIONS,LG
MLA1110696855,Smart Tv Led 50 Pulgadas Rca And50fxuhd Android 4k Uhd Cuota,286998.0,MLA-TELEVISIONS,RCA
MLA1117495114,Smart Tv Philips 50 Pulgadas 4k Uhd Android 50pud7406/77,196838.94,MLA-TELEVISIONS,Philips
MLA1110670719,Smart Tv Led 50 Pulgadas Rca And50fxuhd Android 4k Uhd,210998.0,MLA-TELEVISIONS,RCA
MLA1361870992,Samsung 55  The Frame Art Mode 4k Smart Tv Ls03b Beige,499999.0,MLA-TELEVISIONS,Samsung
MLA1131148019,Smart Tv 50  Uhd 4k Hdmi Usb Un50au7000 Samsung,231499.0,MLA-TELEVISIONS,Samsung
MLA1174319757,Smart Tv Philips 43 4k Uhd Android  Pud7407/77 110v-240v,203499.0,MLA-TELEVISIONS,Philips
MLA1371704812,Smart Tv Samsung Neo Qled 4k Qn50qn90bagxzd Qled Tizen 4k 50  100v/240v,489999.0,MLA-TELEVISIONS,Samsung
MLA1281932357,Smart Tv Samsung Series 6 Qn55q65bagczb Qled 4k 55,339999.0,MLA-TELEVISIONS,Samsung
MLA1147020858,Smart Tv Samsung Series 7 Un50au7000gczb Led 4k 50  C,288828.0,MLA-TELEVISIONS,Samsung
MLA1128572392,Smart Tv Samsung Series 7 Un50au7000gczb Led 4k 50,212828.0,MLA-TELEVISIONS,Samsung
MLA1368584015,Smart Tv LG 50uq801c0sb Lcd 4k 50 100v/240v,188328.0,MLA-TELEVISIONS,LG
MLA905326045,Smart Tv Rca X50andtv Led Android Tv 4k 50  100v/240v,165999.0,MLA-TELEVISIONS,RCA
MLA1158005024,Smart Tv 55  Bgh Android B5522us6a 4k Uhd,221499.0,MLA-TELEVISIONS,BGH
MLA1370186643,Smart Tv Noblex Dk55x7500pi Led 4k 55'' Con Google Tv,220999.0,MLA-TELEVISIONS,Noblex
MLA1411054128,Smart Tv Led De 50 Tcl L50p735 Uhd 4k Google Tv,164999.0,MLA-TELEVISIONS,TCL
MLA1174435817,Smart Tv Philips 43 4k Uhd Android  Pud7407/77 110v-240v,205529.0,MLA-TELEVISIONS,Philips
MLA1315070631,Smart Tv Noblex 50  4k Uhd Vidaa Hdmi Usb Dk50x6550,185299.0,MLA-TELEVISIONS,Noblex
